GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RestaurantReservation,com.restaurant.reservation.security,CustomUserDetails,39,0,0,0,12,0,10,0,10,0
RestaurantReservation,com.restaurant.reservation.security,CustomAuthenticationSuccessHandler,29,3,4,0,8,1,3,1,1,1
RestaurantReservation,com.restaurant.reservation,RestaurantReservationApplication,5,3,0,0,2,1,1,1,1,1
RestaurantReservation,com.restaurant.reservation.dto,ReservationRequestDTO,1,48,1,3,0,17,1,10,0,9
RestaurantReservation,com.restaurant.reservation.dto,LoginRequestDTO,26,0,0,0,11,0,6,0,6,0
RestaurantReservation,com.restaurant.reservation.dto,UserResponseDTO,33,0,0,0,12,0,6,0,6,0
RestaurantReservation,com.restaurant.reservation.dto,ReviewResponseDTO,27,0,0,0,10,0,5,0,5,0
RestaurantReservation,com.restaurant.reservation.dto,RegisterRequestDTO,3,71,3,3,0,24,3,12,0,12
RestaurantReservation,com.restaurant.reservation.dto,ReviewRequestDTO,36,0,2,0,13,0,10,0,9,0
RestaurantReservation,com.restaurant.reservation.config,SecurityConfig,15,128,0,0,2,26,2,11,2,11
RestaurantReservation,com.restaurant.reservation.controller,PageController,8,3,0,0,4,1,4,1,4,1
RestaurantReservation,com.restaurant.reservation.controller,GlobalModelAttributes,12,3,4,0,3,1,3,1,1,1
RestaurantReservation,com.restaurant.reservation.controller,ReviewController,50,3,0,0,17,1,3,1,3,1
RestaurantReservation,com.restaurant.reservation.controller,AuthController,24,3,2,0,6,1,2,1,1,1
RestaurantReservation,com.restaurant.reservation.controller,AdminController,76,3,0,0,18,1,7,1,7,1
RestaurantReservation,com.restaurant.reservation.controller,CustomerController,200,3,10,0,48,1,11,1,6,1
RestaurantReservation,com.restaurant.reservation.model,Notification,25,18,0,0,7,7,7,3,7,3
RestaurantReservation,com.restaurant.reservation.model,UserType,0,15,0,0,0,3,0,1,0,1
RestaurantReservation,com.restaurant.reservation.model,Reservation,44,39,0,0,17,17,8,11,8,11
RestaurantReservation,com.restaurant.reservation.model,Restaurant,31,7,0,0,13,3,9,2,9,2
RestaurantReservation,com.restaurant.reservation.model,User,31,59,3,3,6,19,9,8,6,8
RestaurantReservation,com.restaurant.reservation.model,RestaurantTable,20,11,0,0,8,5,6,3,6,3
RestaurantReservation,com.restaurant.reservation.model,Review,73,34,9,1,17,11,15,4,10,4
RestaurantReservation,com.restaurant.reservation.service,AuthService,0,38,0,2,0,11,0,3,0,2
RestaurantReservation,com.restaurant.reservation.service,CustomerService,51,286,10,20,7,65,13,11,3,6
RestaurantReservation,com.restaurant.reservation.service,AdminService,32,111,0,0,11,28,6,9,6,9
RestaurantReservation,com.restaurant.reservation.service,ReviewService,20,70,2,8,4,13,5,5,3,2
RestaurantReservation,com.restaurant.reservation.service,EmailSenderService,8,50,0,0,3,15,0,2,0,2
RestaurantReservation,com.restaurant.reservation.exception,PastDateReservationException,0,4,0,0,0,2,0,1,0,1
RestaurantReservation,com.restaurant.reservation.exception,NoTableWithEnoughCapacityException,0,5,0,0,0,2,0,1,0,1
RestaurantReservation,com.restaurant.reservation.exception,InvalidReservationTimeException,4,4,0,0,2,2,1,1,1,1
